title,engine,gearbox,body,wheel,condition,creation_date,views_cnt,owners,pts,accident,customs,transmission,color,mileage,year,real_owner,price,dealer
BMW 1 серии 118i II (F20/F21) Рестайлинг,2.0 л / 190 л.с. / Дизель,автоматическая,хэтчбек 5 дв.,Левый,Не требует ремонта,2 ноября,130 (30 сегодня),2 владельца,Оригинал,1,Растаможен,задний,красный,95 000 км,2015,0,2 895 700 ₽,1
BMW X5 30d IV (G05),2.0 л / 184 л.с. / Бензин,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,6 ноября,6 (6 сегодня),3 или более,Дубликат,1,Растаможен,задний,серый,28 000 км,2020,1,1 195 000 ₽,0
BMW 5 серии 520d VII (G30/G31),2.0 л / 190 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,12 сентября,217 (5 сегодня),2 владельца,Оригинал,1,Растаможен,полный,серый,84 055 км,2019,0,2 945 700 ₽,1
BMW 3 серии 320i VI (F3x),3.0 л / 381 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,28 октября,912 (43 сегодня),1 владелец,Оригинал,1,Растаможен,полный,коричневый,122 000 км,2014,0,4 499 000 ₽,1
BMW 5 серии 520d xDrive VII (G30/G31),2.0 л / 190 л.с. / Бензин,роботизированная,седан,Левый,Не требует ремонта,14 сентября,1806 (6 сегодня),3 или более,Оригинал,1,Растаможен,передний,серый,83 578 км,2017,0,2 425 000 ₽,1
BMW X6 M50d II (F16),2.0 л / 190 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,6 ноября,22 (22 сегодня),1 владелец,Оригинал,0,Растаможен,полный,белый,77 000 км,2017,0,4 190 190 ₽,0
BMW X2 sDrive20i I (F39),3.0 л / 249 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,21 сентября,497 (6 сегодня),3 или более,Оригинал,1,Растаможен,полный,синий,60 950 км,2018,0,3 757 900 ₽,1
BMW 5 серии 520d xDrive VII (G30/G31) Рестайлинг,2.5 л / 218 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,25 августа,1967 (19 сегодня),2 владельца,Оригинал,1,Растаможен,задний,белый,30 946 км,2020,0,1 250 000 ₽,1
BMW 5 серии 530d xDrive VII (G30/G31),3.0 л / 249 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,20 сентября,524 (5 сегодня),2 владельца,Оригинал,1,Растаможен,полный,чёрный,93 164 км,2018,0,4 100 000 ₽,1
BMW 3 серии 325i V (E90/E91/E92/E93) Рестайлинг,2.0 л / 190 л.с. / Дизель,автоматическая,купе,Левый,Не требует ремонта,5 ноября,293 (96 сегодня),1 владелец,Оригинал,0,Растаможен,полный,белый,210 000 км,2012,0,4 500 000 ₽,0
BMW 5 серии 530d xDrive VII (G30/G31),3.0 л / 249 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,5 ноября,44 (11 сегодня),2 владельца,Оригинал,0,Растаможен,полный,чёрный,83 000 км,2019,0,8 733 000 ₽,0
BMW 3 серии 320d xDrive VII (G2x),1.5 л / 140 л.с. / Бензин,роботизированная,седан,Левый,Не требует ремонта,6 ноября,32 (32 сегодня),1 владелец,Оригинал,0,Растаможен,передний,серый,21 000 км,2021,0,2 674 700 ₽,0
BMW X7 30d I (G07),2.0 л / 184 л.с. / Бензин,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,25 октября,266 (16 сегодня),3 или более,Оригинал,0,Растаможен,задний,чёрный,58 030 км,2021,0,1 449 950 ₽,1
BMW X1 18i sDrive II (F48) Рестайлинг,2.0 л / 184 л.с. / Бензин,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,26 сентября,546 (4 сегодня),1 владелец,Оригинал,1,Растаможен,полный,серебристый,38 050 км,2020,0,2 545 450 ₽,1
BMW 3 серии 320i VI (F3x) Рестайлинг,2.0 л / 184 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,30 августа,2061 (8 сегодня),2 владельца,Оригинал,1,Растаможен,полный,чёрный,140 260 км,2015,0,1 670 000 ₽,1
BMW X4 20i I (F26),3.0 л / 265 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,23 августа,1722 (13 сегодня),1 владелец,Оригинал,1,Растаможен,полный,чёрный,81 559 км,2017,0,4 490 000 ₽,1
BMW X3 20i xDrive II (F25),1.5 л / 136 л.с. / Бензин,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,31 октября,123 (12 сегодня),2 владельца,Оригинал,1,Растаможен,задний,красный,84 937 км,2013,0,1 740 000 ₽,1
BMW X3 30d xDrive III (G01),2.0 л / 190 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,6 ноября,20 (20 сегодня),1 владелец,Оригинал,1,Растаможен,полный,серый,29 000 км,2019,1,2 650 000 ₽,0
BMW 1 серии 118i II (F20/F21) Рестайлинг 2,2.0 л / 190 л.с. / Дизель,автоматическая,хэтчбек 5 дв.,Левый,Не требует ремонта,29 августа,1824 (9 сегодня),1 владелец,Оригинал,1,Растаможен,задний,чёрный,78 000 км,2017,0,4 290 000 ₽,1
BMW 3 серии Gran Turismo 320d xDrive VI (F3x) Рестайлинг,2.0 л / 190 л.с. / Дизель,автоматическая,лифтбек,Левый,Не требует ремонта,6 ноября,50 (50 сегодня),1 владелец,Оригинал,1,Растаможен,полный,белый,120 000 км,2019,1,4 999 800 ₽,0
BMW 5 серии 520d VII (G30/G31) Рестайлинг,1.5 л / 136 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,18 октября,702 (26 сегодня),3 или более,Оригинал,1,Растаможен,задний,чёрный,42 000 км,2020,0,1 659 900 ₽,1
BMW 5 серии 520d xDrive VII (G30/G31) Рестайлинг,1.5 л / 136 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,1 ноября,195 (8 сегодня),2 владельца,Оригинал,0,Растаможен,задний,чёрный,16 500 км,2021,0,1 629 700 ₽,1
BMW 1 серии 118i II (F20/F21) Рестайлинг 2,2.0 л / 190 л.с. / Дизель,автоматическая,хэтчбек 5 дв.,Левый,Не требует ремонта,5 октября,818 (25 сегодня),2 владельца,Оригинал,1,Растаможен,полный,чёрный,43 304 км,2018,0,3 690 000 ₽,1
BMW 1 серии 118i II (F20/F21) Рестайлинг 2,2.0 л / 190 л.с. / Дизель,автоматическая,хэтчбек 5 дв.,Левый,Не требует ремонта,17 октября,599 (27 сегодня),1 владелец,Оригинал,1,Растаможен,задний,голубой,112 831 км,2018,0,3 080 000 ₽,1
BMW X3 20d xDrive III (G01),3.0 л / 249 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,6 ноября,37 (37 сегодня),1 владелец,Оригинал,1,Растаможен,полный,синий,42 000 км,2019,0,8 900 000 ₽,0
BMW 5 серии 520d VII (G30/G31),2.0 л / 184 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,13 октября,1267 (26 сегодня),2 владельца,Оригинал,1,Растаможен,задний,чёрный,44 000 км,2019,0,1 395 000 ₽,1
BMW X7 30d I (G07),3.0 л / 265 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,6 ноября,31 (31 сегодня),1 владелец,Оригинал,0,Растаможен,полный,белый,69 520 км,2019,0,5 550 000 ₽,0
BMW 5 серии 520i VI (F10/F11/F07),3.0 л / 249 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,3 ноября,54 (7 сегодня),1 владелец,Оригинал,0,Растаможен,полный,коричневый,155 000 км,2013,0,8 749 000 ₽,1
BMW X5 30d IV (G05),3.0 л / 249 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,14 сентября,6609 (53 сегодня),1 владелец,Оригинал,1,Растаможен,полный,чёрный,59 755 км,2019,0,3 949 000 ₽,1
BMW X7 30d I (G07),2.0 л / 190 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,13 октября,532 (12 сегодня),2 владельца,Дубликат,0,Растаможен,полный,серый,39 580 км,2020,0,2 949 000 ₽,1
BMW 5 серии 530d xDrive VII (G30/G31),2.0 л / 245 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,26 октября,926 (17 сегодня),1 владелец,Оригинал,1,Растаможен,задний,серый,88 045 км,2018,0,2 550 000 ₽,1
BMW 5 серии 520d xDrive VII (G30/G31),3.0 л / 249 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,5 августа,2306 (13 сегодня),2 владельца,Оригинал,1,Растаможен,полный,чёрный,37 034 км,2018,0,8 050 000 ₽,1
BMW 4 серии 428i F32/F33/F36,2.0 л / 190 л.с. / Дизель,автоматическая,купе,Левый,Не требует ремонта,6 ноября,56 (56 сегодня),3 или более,Оригинал,0,Растаможен,полный,белый,80 000 км,2015,0,1 670 000 ₽,0
BMW X7 30d I (G07),2.0 л / 190 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,13 октября,394 (11 сегодня),3 или более,Оригинал,0,Растаможен,задний,чёрный,73 195 км,2020,0,1 819 000 ₽,1
BMW X1 20d xDrive II (F48),3.0 л / 340 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,24 октября,479 (26 сегодня),1 владелец,Оригинал,1,Растаможен,полный,белый,163 254 км,2016,0,14 990 000 ₽,1
BMW 5 серии 520d VI (F10/F11/F07) Рестайлинг,2.0 л / 190 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,25 июля,2775 (17 сегодня),2 владельца,Оригинал,0,Растаможен,полный,белый,102 552 км,2016,0,2 349 950 ₽,1
BMW X7 40d I (G07),3.0 л / 381 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,5 ноября,123 (37 сегодня),2 владельца,Оригинал,1,Растаможен,полный,чёрный,18 км,2022,0,3 800 000 ₽,0
BMW X4 20d I (F26),3.0 л / 249 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,19 сентября,1063 (18 сегодня),2 владельца,Оригинал,1,Растаможен,полный,белый,158 442 км,2017,0,5 995 000 ₽,1
BMW X5 M50d III (F15),4.4 л / 625 л.с. / Бензин,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,6 ноября,19 (19 сегодня),2 владельца,Оригинал,1,Растаможен,полный,синий,100 000 км,2014,1,8 500 000 ₽,0
BMW 5 серии 530d xDrive VII (G30/G31) Рестайлинг,2.0 л / 150 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,19 сентября,870 (8 сегодня),2 владельца,Оригинал,1,Растаможен,полный,чёрный,38 600 км,2020,0,2 049 000 ₽,1
BMW M5 Competition VI (F90),2.0 л / 190 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,6 ноября,66 (66 сегодня),2 владельца,Оригинал,0,Растаможен,полный,чёрный,18 888 км,2018,0,1 950 000 ₽,0
BMW X1 18d xDrive II (F48),3.0 л / 249 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,5 октября,712 (13 сегодня),2 владельца,Оригинал,1,Растаможен,полный,чёрный,66 228 км,2016,0,5 995 000 ₽,1
BMW 3 серии 320d xDrive VI (F3x) Рестайлинг,2.0 л / 190 л.с. / Дизель,автоматическая,универсал 5 дв.,Левый,Не требует ремонта,6 ноября,36 (36 сегодня),2 владельца,Оригинал,1,Растаможен,полный,синий,132 973 км,2018,0,1 950 000 ₽,0
BMW 5 серии 530d xDrive VII (G30/G31) Рестайлинг,3.0 л / 249 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,19 сентября,870 (8 сегодня),2 владельца,Оригинал,1,Растаможен,полный,чёрный,38 600 км,2020,0,5 799 000 ₽,1
BMW 3 серии 320d xDrive VI (F3x) Рестайлинг,2.0 л / 249 л.с. / Бензин,автоматическая,универсал 5 дв.,Левый,Не требует ремонта,6 ноября,36 (36 сегодня),2 владельца,Оригинал,1,Растаможен,полный,синий,132 973 км,2018,0,3 479 000 ₽,0
BMW 5 серии 530d xDrive VII (G30/G31) Рестайлинг,3.0 л / 258 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,25 октября,240 (13 сегодня),3 или более,Оригинал,1,Растаможен,полный,чёрный,31 199 км,2020,0,1 585 000 ₽,1
BMW 5 серии 530i xDrive VII (G30/G31),2.0 л / 190 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,19 сентября,501 (5 сегодня),1 владелец,Оригинал,1,Растаможен,полный,чёрный,102 700 км,2019,0,4 599 000 ₽,1
BMW 5 серии 530d xDrive VI (F10/F11/F07),1.8 л / 105 л.с. / Бензин,механическая,седан,Левый,Не требует ремонта,19 сентября,842 (4 сегодня),3 или более,Оригинал,1,Растаможен,задний,синий,141 000 км,2012,0,280 000 ₽,1
BMW 5 серии 520d xDrive VII (G30/G31) Рестайлинг,2.0 л / 150 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,19 сентября,1199 (3 сегодня),3 или более,Оригинал,1,Растаможен,полный,серый,23 500 км,2020,0,1 997 700 ₽,1
BMW 3 серии 318i II (E30),4.4 л / 530 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,5 ноября,127 (50 сегодня),1 владелец,Оригинал,1,Растаможен,полный,белый,262 000 км,1985,0,8 900 000 ₽,0
BMW X1 18d xDrive II (F48),2.0 л / 190 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,31 октября,88 (4 сегодня),1 владелец,Оригинал,1,Растаможен,полный,чёрный,115 506 км,2017,0,2 480 000 ₽,1
BMW X6 M50i III (G06),4.8 л / 367 л.с. / Бензин,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,6 ноября,68 (68 сегодня),1 владелец,Оригинал,0,Растаможен,задний,серый,19 325 км,2020,0,1 745 000 ₽,0
BMW X3 20d xDrive II (F25) Рестайлинг,2.0 л / 150 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,6 ноября,30 (30 сегодня),2 владельца,Оригинал,0,Растаможен,полный,серый,69 800 км,2015,0,2 620 000 ₽,0
BMW 6 серии 650i II (E63/E64) Рестайлинг,2.0 л / 190 л.с. / Дизель,автоматическая,купе,Левый,Не требует ремонта,6 ноября,51 (51 сегодня),1 владелец,Оригинал,0,Растаможен,полный,чёрный,68 600 км,2008,0,3 980 000 ₽,0
BMW X2 xDrive18d I (F39),2.5 л / 192 л.с. / Бензин,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,6 ноября,33 (33 сегодня),3 или более,Оригинал,0,Растаможен,полный,белый,50 000 км,2019,0,680 000 ₽,0
BMW 5 серии 520d xDrive VII (G30/G31) Рестайлинг,3.0 л / 400 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,13 октября,624 (8 сегодня),3 или более,Оригинал,0,Растаможен,полный,чёрный,48 805 км,2020,0,10 900 000 ₽,1
BMW X3 25i I (E83),2.0 л / 190 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,5 ноября,51 (20 сегодня),1 владелец,Оригинал,1,Растаможен,полный,красный,177 500 км,2006,0,4 599 000 ₽,0
BMW X7 M50d I (G07),2.0 л / 249 л.с. / Бензин,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,6 ноября,10 (10 сегодня),2 владельца,Оригинал,1,Растаможен,полный,чёрный,55 000 км,2019,0,4 999 000 ₽,0
BMW 5 серии 520d xDrive VII (G30/G31) Рестайлинг,4.4 л / 530 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,19 сентября,238 (1 сегодня),1 владелец,Оригинал,0,Растаможен,полный,чёрный,55 000 км,2021,0,15 500 000 ₽,1
BMW 5 серии 530i xDrive VII (G30/G31) Рестайлинг,3.0 л / 249 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,22 сентября,473 (4 сегодня),3 или более,Дубликат,1,Растаможен,полный,белый,40 950 км,2020,0,2 849 000 ₽,1
BMW X7 M50i I (G07),1.6 л / 90 л.с. / Бензин,механическая,внедорожник 5 дв.,Левый,Не требует ремонта,5 ноября,75 (24 сегодня),3 или более,Дубликат,0,Растаможен,задний,зелёный,5 900 км,2021,0,150 000 ₽,0
BMW X5 30d III (F15),2.0 л / 184 л.с. / Бензин,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,24 октября,803 (33 сегодня),1 владелец,Оригинал,1,Растаможен,полный,чёрный,122 000 км,2015,0,2 545 450 ₽,1
BMW 3 серии 316 I (E21),3.0 л / 387 л.с. / Бензин,автоматическая,седан 2 дв.,Левый,Не требует ремонта,5 ноября,187 (60 сегодня),1 владелец,Оригинал,0,Растаможен,полный,синий,250 000 км,1982,0,7 319 900 ₽,0
BMW X4 20i I (F26),2.0 л / 184 л.с. / Бензин,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,23 августа,1724 (15 сегодня),1 владелец,Оригинал,1,Растаможен,полный,чёрный,81 559 км,2017,0,3 780 000 ₽,1
"BMW 4 серии M440i xDrive G22, G23, G26",3.0 л / 249 л.с. / Дизель,автоматическая,купе,Левый,Не требует ремонта,27 октября,633 (23 сегодня),1 владелец,Оригинал,1,Растаможен,полный,синий,6 610 км,2021,0,7 822 000 ₽,1
BMW 3 серии 320i xDrive VII (G2x),4.4 л / 530 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,6 ноября,23 (23 сегодня),2 владельца,Оригинал,1,Растаможен,полный,синий,36 000 км,2021,0,11 000 000 ₽,0
BMW X5 30d IV (G05),3.0 л / 249 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,25 октября,564 (17 сегодня),1 владелец,Оригинал,1,Растаможен,полный,чёрный,33 668 км,2021,0,9 900 000 ₽,1
BMW 8 серии M850i xDrive II (G14/G15/G16),6.6 л / 610 л.с. / Бензин,автоматическая,купе,Левый,Не требует ремонта,2 сентября,3197 (24 сегодня),3 или более,Оригинал,1,Растаможен,полный,чёрный,7 912 км,2019,0,5 900 000 ₽,1
BMW X5 30d IV (G05),2.0 л / 231 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,6 ноября,30 (30 сегодня),1 владелец,Оригинал,1,Растаможен,полный,чёрный,1 300 км,2022,0,6 650 000 ₽,0
BMW 7 серии Long M760Li xDrive VI (G11/G12),3.0 л / 249 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,6 ноября,54 (54 сегодня),1 владелец,Оригинал,1,Растаможен,полный,серый,89 000 км,2017,0,7 399 000 ₽,0
BMW X5 25d IV (G05),2.0 л / 184 л.с. / Бензин,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,13 октября,576 (7 сегодня),2 владельца,Оригинал,0,Растаможен,задний,чёрный,34 231 км,2021,0,1 299 000 ₽,1
BMW X5 30d IV (G05),2.0 л / 184 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,13 октября,449 (5 сегодня),2 владельца,Оригинал,1,Растаможен,полный,белый,19 837 км,2020,0,1 300 000 ₽,1
BMW 5 серии 520i VI (F10/F11/F07),3.0 л / 400 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,6 ноября,69 (69 сегодня),1 владелец,Оригинал,1,Растаможен,полный,чёрный,98 000 км,2012,0,8 349 000 ₽,0
BMW X3 20d xDrive II (F25),2.0 л / 184 л.с. / Бензин,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,31 октября,144 (4 сегодня),1 владелец,Оригинал,1,Растаможен,полный,красный,188 000 км,2012,0,2 800 000 ₽,0
BMW X5 M50d IV (G05),3.0 л / 249 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,30 июля,2029 (4 сегодня),2 владельца,Оригинал,0,Растаможен,полный,белый,57 742 км,2020,0,4 100 000 ₽,1
BMW 3 серии 320i xDrive VII (G2x),2.0 л / 190 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,2 сентября,4348 (13 сегодня),1 владелец,Оригинал,0,Растаможен,полный,серый,79 540 км,2019,0,4 500 000 ₽,1
BMW 5 серии 530d xDrive VII (G30/G31),3.0 л / 306 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,5 ноября,45 (12 сегодня),3 или более,Оригинал,0,Растаможен,полный,чёрный,83 000 км,2019,0,3 200 000 ₽,0
BMW 3 серии 320d xDrive VII (G2x),3.0 л / 265 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,6 ноября,35 (35 сегодня),1 владелец,Оригинал,0,Растаможен,полный,серый,21 000 км,2021,0,5 744 000 ₽,0
BMW X5 35i III (F15),2.0 л / 231 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,2 сентября,2496 (8 сегодня),1 владелец,Оригинал,1,Растаможен,полный,серый,119 322 км,2016,0,6 390 000 ₽,1
BMW X5 30d IV (G05),3.0 л / 249 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,25 октября,157 (10 сегодня),1 владелец,Оригинал,1,Растаможен,полный,чёрный,84 534 км,2019,0,6 865 000 ₽,1
BMW X5 25d IV (G05),3.0 л / 306 л.с. / Бензин,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,19 сентября,364 (5 сегодня),2 владельца,Дубликат,1,Растаможен,полный,чёрный,48 724 км,2020,0,1 670 000 ₽,1
BMW X5 30d IV (G05),3.0 л / 340 л.с. / Бензин,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,19 сентября,477 (6 сегодня),2 владельца,Оригинал,1,Растаможен,полный,серый,86 000 км,2019,0,7 999 000 ₽,1
BMW X6 35i I (E71),3.0 л / 306 л.с. / Бензин,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,31 октября,77 (6 сегодня),1 владелец,Оригинал,1,Растаможен,полный,синий,127 000 км,2011,0,1 422 000 ₽,1
BMW X5 40i IV (G05),3.0 л / 249 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,30 августа,875 (8 сегодня),1 владелец,Оригинал,1,Растаможен,полный,чёрный,35 154 км,2021,0,9 200 000 ₽,1
BMW X5 35i II (E70) Рестайлинг,3.0 л / 249 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,25 октября,551 (10 сегодня),1 владелец,Оригинал,0,Растаможен,полный,коричневый,179 755 км,2013,0,7 200 000 ₽,1
BMW X7 30d I (G07),2.0 л / 306 л.с. / Бензин,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,5 ноября,60 (27 сегодня),3 или более,Оригинал,1,Растаможен,полный,серый,32 000 км,2021,0,3 690 690 ₽,0
BMW X4 30d II (G02),2.0 л / 190 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,6 ноября,10 (10 сегодня),2 владельца,Оригинал,0,Растаможен,полный,белый,13 000 км,2021,1,2 380 000 ₽,0
BMW 2 серии Gran Coupe M235i xDrive F44,3.0 л / 340 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,30 августа,2170 (9 сегодня),1 владелец,Оригинал,1,Растаможен,полный,чёрный,22 931 км,2020,0,5 700 000 ₽,1
BMW X1 20d xDrive II (F48),3.0 л / 360 л.с. / Бензин,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,6 ноября,8 (8 сегодня),1 владелец,Оригинал,0,Растаможен,полный,коричневый,61 420 км,2016,0,4 290 000 ₽,0
BMW X5 40i IV (G05),2.0 л / 190 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,13 октября,147 (3 сегодня),1 владелец,Оригинал,0,Растаможен,полный,чёрный,94 950 км,2019,0,4 978 000 ₽,1
BMW X3 M40i III (G01),3.0 л / 320 л.с. / Бензин,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,5 ноября,176 (66 сегодня),3 или более,Оригинал,1,Растаможен,полный,синий,49 000 км,2019,0,1 999 950 ₽,0
"BMW 4 серии 420d xDrive G22, G23, G26",3.0 л / 249 л.с. / Дизель,автоматическая,купе,Левый,Не требует ремонта,25 октября,803 (32 сегодня),2 владельца,Оригинал,0,Растаможен,полный,чёрный,19 150 км,2020,0,3 150 000 ₽,1
BMW 6 серии Gran Coupe 640i xDrive III (F06/F13/F12),4.4 л / 625 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,26 сентября,1579 (20 сегодня),2 владельца,Оригинал,1,Растаможен,полный,чёрный,105 000 км,2014,0,11 495 000 ₽,1
BMW X6 30d II (F16),3.0 л / 320 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,19 сентября,1094 (16 сегодня),1 владелец,Оригинал,0,Растаможен,полный,белый,145 180 км,2016,0,8 900 000 ₽,1
BMW M8 Gran Coupe Competition I (F91/F92/F93),4.4 л / 625 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,3 ноября,838 (125 сегодня),1 владелец,Оригинал,1,Растаможен,полный,серый,23 021 км,2020,0,10 150 000 ₽,1
BMW 8 серии 840d xDrive II (G14/G15/G16),3.0 л / 265 л.с. / Дизель,автоматическая,купе,Левый,Не требует ремонта,5 ноября,54 (17 сегодня),1 владелец,Оригинал,1,Растаможен,полный,серый,7 300 км,2019,0,6 000 000 ₽,1
BMW M5 Competition VI (F90) Рестайлинг,1.5 л / 140 л.с. / Бензин,роботизированная,седан,Левый,Не требует ремонта,25 октября,2710 (132 сегодня),2 владельца,Оригинал,1,Растаможен,передний,серый,11 165 км,2021,0,2 425 000 ₽,1
BMW X5 30d IV (G05),4.4 л / 560 л.с. / Бензин,роботизированная,внедорожник 5 дв.,Левый,Не требует ремонта,6 ноября,14 (14 сегодня),1 владелец,Оригинал,0,Растаможен,задний,чёрный,84 000 км,2019,0,2 790 000 ₽,0
BMW 2 серии Gran Coupe 218i F44,4.4 л / 600 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,5 октября,643 (5 сегодня),1 владелец,Оригинал,1,Растаможен,полный,красный,39 207 км,2020,0,9 900 000 ₽,1
BMW M5 V (F10),3.0 л / 400 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,6 ноября,55 (55 сегодня),1 владелец,Оригинал,0,Растаможен,полный,синий,130 000 км,2011,1,4 550 000 ₽,0
BMW X6 M III (F96),3.0 л / 249 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,31 октября,706 (87 сегодня),2 владельца,Оригинал,1,Растаможен,полный,синий,24 598 км,2020,0,3 048 000 ₽,1
BMW 7 серии 750d xDrive VI (G11/G12),3.0 л / 265 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,31 октября,874 (54 сегодня),1 владелец,Оригинал,0,Растаможен,полный,серый,90 000 км,2018,0,5 450 000 ₽,1
BMW X3 30d xDrive III (G01),3.0 л / 340 л.с. / Бензин,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,4 ноября,297 (110 сегодня),1 владелец,Оригинал,1,Растаможен,полный,белый,109 076 км,2019,0,3 199 000 ₽,1
BMW 3 серии 330d xDrive VII (G2x),3.0 л / 340 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,31 октября,729 (78 сегодня),1 владелец,Оригинал,1,Растаможен,полный,синий,23 600 км,2021,0,9 990 000 ₽,1
BMW 5 серии 540i xDrive VII (G30/G31),2.0 л / 190 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,4 ноября,457 (120 сегодня),2 владельца,Оригинал,1,Растаможен,задний,чёрный,78 060 км,2019,0,2 250 000 ₽,1
