title,engine,gearbox,body,wheel,condition,creation_date,views_cnt,owners,pts,accident,customs,transmission,color,mileage,year,real_owner,price,dealer
BMW 5 серии 530d xDrive VII (G30/G31),3.0 л / 249 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,2 ноября,424 (57 сегодня),3 или более,Оригинал,1,Растаможен,полный,белый,58 761 км,2018,0,3 597 000 ₽,1
BMW X5 25d III (F15),3.0 л / 218 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,2 ноября,651 (59 сегодня),3 или более,Оригинал,0,Растаможен,полный,чёрный,150 000 км,2017,0,2 767 000 ₽,1
BMW 5 серии 530d xDrive VII (G30/G31),3.0 л / 249 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,2 октября,2566 (136 сегодня),3 или более,Оригинал,1,Растаможен,полный,серый,77 000 км,2018,0,3 350 000 ₽,0
BMW 5 серии 528i xDrive VI (F10/F11/F07) Рестайлинг,2.0 л / 245 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,28 сентября,4648 (96 сегодня),3 или более,Дубликат,1,Растаможен,полный,белый,96 765 км,2014,0,1 333 000 ₽,0
BMW 7 серии Long 730Ld xDrive VI (G11/G12),3.0 л / 265 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,4 ноября,188 (35 сегодня),2 владельца,Оригинал,0,Растаможен,полный,чёрный,80 500 км,2017,0,3 850 000 ₽,1
BMW 5 серии 530d VII (G30/G31),3.0 л / 265 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,17 сентября,3140 (24 сегодня),1 владелец,Оригинал,0,Растаможен,задний,серый,66 890 км,2019,0,3 812 355 ₽,1
BMW X1 20d I (E84) Рестайлинг,2.0 л / 184 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,2 ноября,132 (14 сегодня),2 владельца,Оригинал,0,Растаможен,полный,коричневый,111 563 км,2013,0,1 470 000 ₽,1
BMW 2 серии Gran Coupe 218i F44,1.5 л / 140 л.с. / Бензин,роботизированная,седан,Левый,Не требует ремонта,18 октября,411 (27 сегодня),1 владелец,Оригинал,0,Растаможен,передний,чёрный,54 485 км,2020,0,2 462 000 ₽,1
BMW 5 серии 530d V (E60/E61),3.0 л / 218 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,5 ноября,484 (141 сегодня),3 или более,Дубликат,1,Растаможен,задний,чёрный,345 000 км,2004,1,795 000 ₽,0
BMW X1 20d I (E84) Рестайлинг,2.0 л / 184 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,2 ноября,132 (14 сегодня),2 владельца,Оригинал,0,Растаможен,полный,коричневый,111 563 км,2013,0,1 470 000 ₽,1
BMW 2 серии Gran Coupe 218i F44,1.5 л / 140 л.с. / Бензин,роботизированная,седан,Левый,Не требует ремонта,18 октября,411 (27 сегодня),1 владелец,Оригинал,0,Растаможен,передний,чёрный,54 485 км,2020,0,2 462 000 ₽,1
BMW 7 серии Long 730Ld xDrive VI (G11/G12) Рестайлинг,3.0 л / 265 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,6 ноября,67 (67 сегодня),1 владелец,Оригинал,1,Растаможен,полный,серый,34 200 км,2019,0,7 170 000 ₽,0
BMW 3 серии 318d VII (G2x),2.0 л / 150 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,13 октября,1406 (29 сегодня),1 владелец,Оригинал,0,Растаможен,задний,белый,51 335 км,2020,0,2 790 000 ₽,1
BMW 3 серии 320i VI (F3x) Рестайлинг,2.0 л / 184 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,4 ноября,226 (33 сегодня),2 владельца,Оригинал,1,Растаможен,задний,серый,38 000 км,2018,0,2 060 000 ₽,1
BMW X6 30d III (G06),3.0 л / 249 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,21 октября,1373 (39 сегодня),1 владелец,Оригинал,0,Растаможен,полный,белый,34 000 км,2021,0,8 890 000 ₽,1
BMW M8 Gran Coupe Competition I (F91/F92/F93),4.4 л / 625 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,5 ноября,304 (115 сегодня),1 владелец,Оригинал,1,Растаможен,полный,чёрный,11 500 км,2021,0,11 495 000 ₽,0
BMW 5 серии 520i III (E34),2.0 л / 129 л.с. / Бензин,механическая,седан,Левый,Не требует ремонта,6 ноября,132 (132 сегодня),3 или более,Дубликат,1,Растаможен,задний,чёрный,240 000 км,1989,0,90 000 ₽,0
BMW 3 серии 320d xDrive VI (F3x),2.0 л / 184 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,6 ноября,57 (57 сегодня),3 или более,Оригинал,1,Растаможен,полный,синий,103 300 км,2013,0,1 490 000 ₽,0
BMW 7 серии 728i I (E23),2.8 л / 184 л.с. / Бензин,механическая,седан,Левый,Не требует ремонта,2 ноября,989 (60 сегодня),3 или более,Оригинал,0,Растаможен,задний,серый,293 952 км,1985,0,1 149 000 ₽,1
BMW 2 серии Gran Coupe 218i F44,1.5 л / 140 л.с. / Бензин,роботизированная,седан,Левый,Не требует ремонта,2 ноября,292 (32 сегодня),1 владелец,Оригинал,1,Растаможен,передний,серый,22 041 км,2021,0,2 450 000 ₽,1
BMW X6 30d II (F16),3.0 л / 249 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,17 октября,1126 (31 сегодня),3 или более,Оригинал,1,Растаможен,полный,коричневый,163 000 км,2014,0,3 150 000 ₽,1
BMW X5 25d III (F15),3.0 л / 218 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,2 ноября,136 (16 сегодня),2 владельца,Оригинал,0,Растаможен,полный,синий,125 382 км,2016,0,3 136 000 ₽,1
BMW 5 серии 520d xDrive VII (G30/G31),2.0 л / 190 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,2 ноября,361 (25 сегодня),3 или более,Оригинал,0,Растаможен,полный,серый,58 587 км,2020,0,3 097 000 ₽,1
BMW 3 серии Gran Turismo 320d xDrive VI (F3x) Рестайлинг,2.0 л / 190 л.с. / Дизель,автоматическая,лифтбек,Левый,Не требует ремонта,3 ноября,361 (61 сегодня),3 или более,Оригинал,1,Растаможен,полный,чёрный,62 330 км,2019,0,2 330 000 ₽,1
BMW 3 серии 320i xDrive VII (G2x),2.0 л / 184 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,2 ноября,372 (51 сегодня),1 владелец,Оригинал,0,Растаможен,полный,серый,4 139 км,2021,0,4 080 000 ₽,1
BMW 7 серии Long 730Ld xDrive VI (G11/G12),3.0 л / 249 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,2 ноября,226 (24 сегодня),3 или более,Оригинал,0,Растаможен,полный,чёрный,54 582 км,2017,0,3 927 000 ₽,1
BMW 7 серии 730d xDrive VI (G11/G12) Рестайлинг,3.0 л / 265 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,5 октября,1498 (61 сегодня),1 владелец,Оригинал,1,Растаможен,полный,белый,4 300 км,2021,0,9 649 000 ₽,1
BMW 5 серии 530d xDrive VI (F10/F11/F07),3.0 л / 258 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,4 ноября,259 (65 сегодня),3 или более,Оригинал,0,Растаможен,полный,белый,235 436 км,2012,0,1 390 000 ₽,1
BMW 5 серии 520i VII (G30/G31),2.0 л / 184 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,5 ноября,124 (46 сегодня),1 владелец,Оригинал,0,Растаможен,задний,белый,45 000 км,2018,0,2 863 000 ₽,0
BMW 5 серии Gran Turismo 530d xDrive VI (F10/F11/F07) Рестайлинг,3.0 л / 258 л.с. / Дизель,автоматическая,лифтбек,Левый,Не требует ремонта,5 ноября,138 (38 сегодня),2 владельца,Оригинал,0,Растаможен,полный,синий,52 400 км,2013,0,3 150 000 ₽,0
BMW 7 серии 730d xDrive VI (G11/G12),3.0 л / 265 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,5 ноября,170 (44 сегодня),1 владелец,Оригинал,1,Растаможен,полный,серый,78 000 км,2018,1,3 800 000 ₽,0
BMW 5 серии 520d VII (G30/G31),2.0 л / 190 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,4 ноября,102 (20 сегодня),1 владелец,Оригинал,1,Растаможен,задний,синий,35 877 км,2020,0,3 900 000 ₽,1
BMW X1 20i I (E84) Рестайлинг,2.0 л / 184 л.с. / Бензин,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,4 ноября,176 (28 сегодня),1 владелец,Оригинал,0,Растаможен,полный,коричневый,74 755 км,2014,0,1 580 000 ₽,1
BMW X3 20d xDrive III (G01),2.0 л / 190 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,4 ноября,105 (25 сегодня),1 владелец,Оригинал,1,Растаможен,полный,чёрный,21 306 км,2021,0,5 100 000 ₽,1
BMW 3 серии 320i III (E36),2.0 л / 150 л.с. / Бензин,механическая,купе,Левый,Не требует ремонта,5 ноября,189 (56 сегодня),3 или более,Дубликат,1,Растаможен,задний,синий,160 000 км,1995,0,425 000 ₽,0
BMW 8 серии Gran Coupe 840d xDrive II (G14/G15/G16),3.0 л / 320 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,6 ноября,120 (120 сегодня),1 владелец,Оригинал,1,Растаможен,полный,чёрный,39 000 км,2019,0,6 699 000 ₽,0
BMW 5 серии 520d VII (G30/G31),2.0 л / 190 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,20 октября,2962 (101 сегодня),1 владелец,Оригинал,1,Растаможен,задний,чёрный,43 000 км,2017,0,2 297 000 ₽,1
BMW X1 18d xDrive II (F48),2.0 л / 150 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,1 сентября,2729 (11 сегодня),2 владельца,Оригинал,1,Растаможен,полный,серый,87 878 км,2017,0,2 250 000 ₽,1
BMW 5 серии 520d xDrive VII (G30/G31) Рестайлинг,2.0 л / 190 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,2 ноября,163 (16 сегодня),2 владельца,Оригинал,0,Растаможен,полный,синий,7 929 км,2022,0,5 220 000 ₽,1
BMW 7 серии Long 730Ld xDrive VI (G11/G12) Рестайлинг,3.0 л / 265 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,6 ноября,70 (70 сегодня),1 владелец,Оригинал,1,Растаможен,полный,серый,34 200 км,2019,0,7 170 000 ₽,0
BMW 5 серии 530d xDrive VII (G30/G31) Рестайлинг,3.0 л / 249 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,2 ноября,145 (14 сегодня),2 владельца,Оригинал,0,Растаможен,полный,синий,47 933 км,2020,0,5 599 000 ₽,1
BMW 7 серии Long 740Ld xDrive VI (G11/G12),3.0 л / 320 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,2 ноября,241 (22 сегодня),1 владелец,Оригинал,1,Растаможен,полный,белый,55 925 км,2018,0,4 650 000 ₽,1
BMW M8 Gran Coupe Competition I (F91/F92/F93),4.4 л / 625 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,5 ноября,307 (118 сегодня),1 владелец,Оригинал,1,Растаможен,полный,чёрный,11 500 км,2021,0,11 495 000 ₽,0
BMW X5 40i IV (G05),3.0 л / 340 л.с. / Бензин,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,26 октября,612 (33 сегодня),3 или более,Оригинал,1,Растаможен,полный,синий,46 463 км,2020,0,6 075 000 ₽,1
BMW 5 серии 520i III (E34),2.0 л / 129 л.с. / Бензин,механическая,седан,Левый,Не требует ремонта,6 ноября,145 (145 сегодня),3 или более,Дубликат,1,Растаможен,задний,чёрный,240 000 км,1989,0,90 000 ₽,0
BMW 3 серии 320d xDrive VI (F3x),2.0 л / 184 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,6 ноября,57 (57 сегодня),3 или более,Оригинал,1,Растаможен,полный,синий,103 300 км,2013,0,1 490 000 ₽,0
BMW 7 серии 730d xDrive VI (G11/G12) Рестайлинг,3.0 л / 249 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,13 октября,3175 (10 сегодня),2 владельца,Оригинал,0,Растаможен,полный,чёрный,41 210 км,2020,0,7 077 000 ₽,1
BMW 5 серии 520i VII (G30/G31),2.0 л / 184 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,5 ноября,124 (46 сегодня),1 владелец,Оригинал,0,Растаможен,задний,белый,45 000 км,2018,0,2 863 000 ₽,0
BMW 5 серии 530d xDrive VII (G30/G31),3.0 л / 249 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,2 ноября,174 (13 сегодня),3 или более,Оригинал,1,Растаможен,полный,белый,29 751 км,2019,0,4 280 000 ₽,1
BMW 5 серии Gran Turismo 530d xDrive VI (F10/F11/F07) Рестайлинг,3.0 л / 258 л.с. / Дизель,автоматическая,лифтбек,Левый,Не требует ремонта,5 ноября,140 (40 сегодня),2 владельца,Оригинал,0,Растаможен,полный,синий,52 400 км,2013,0,3 150 000 ₽,0
BMW 7 серии 730d xDrive VI (G11/G12),3.0 л / 265 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,5 ноября,170 (44 сегодня),1 владелец,Оригинал,1,Растаможен,полный,серый,78 000 км,2018,1,3 800 000 ₽,0
BMW 5 серии 528i xDrive VI (F10/F11/F07),2.0 л / 245 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,2 ноября,160 (10 сегодня),2 владельца,Оригинал,0,Растаможен,полный,синий,117 000 км,2012,0,1 585 000 ₽,1
BMW 2 серии Gran Coupe 218i F44,1.5 л / 140 л.с. / Бензин,роботизированная,седан,Левый,Не требует ремонта,3 ноября,187 (18 сегодня),2 владельца,Оригинал,1,Растаможен,передний,синий,20 440 км,2020,0,2 390 000 ₽,1
BMW 5 серии 530i xDrive VII (G30/G31) Рестайлинг,2.0 л / 249 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,14 октября,1031 (17 сегодня),1 владелец,Оригинал,1,Растаможен,полный,чёрный,12 437 км,2022,0,5 895 000 ₽,1
BMW 5 серии 520d xDrive VII (G30/G31) Рестайлинг,2.0 л / 190 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,1 ноября,388 (44 сегодня),1 владелец,Оригинал,1,Растаможен,полный,чёрный,74 539 км,2020,0,3 800 000 ₽,1
BMW X3 20d I (E83) Рестайлинг,2.0 л / 177 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,1 ноября,214 (14 сегодня),3 или более,Оригинал,1,Растаможен,полный,бежевый,254 165 км,2009,0,930 000 ₽,1
BMW X5 30i II (E70),3.0 л / 264 л.с. / Бензин,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,4 ноября,77 (10 сегодня),2 владельца,Оригинал,1,Растаможен,полный,серый,230 754 км,2010,0,1 240 000 ₽,1
BMW 3 серии 320d xDrive VI (F3x) Рестайлинг,2.0 л / 190 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,1 ноября,325 (18 сегодня),2 владельца,Оригинал,1,Растаможен,полный,белый,68 533 км,2018,0,2 400 000 ₽,1
BMW X5 30d IV (G05),3.0 л / 265 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,17 октября,1229 (32 сегодня),1 владелец,Оригинал,1,Растаможен,полный,синий,706 км,2022,0,10 355 000 ₽,1
BMW 3 серии 320i III (E36),2.0 л / 150 л.с. / Бензин,механическая,купе,Левый,Не требует ремонта,5 ноября,192 (59 сегодня),3 или более,Дубликат,1,Растаможен,задний,синий,160 000 км,1995,0,425 000 ₽,0
BMW X2 xDrive20i I (F39),2.0 л / 192 л.с. / Бензин,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,4 ноября,96 (27 сегодня),1 владелец,Оригинал,1,Растаможен,полный,синий,39 283 км,2018,0,3 225 000 ₽,1
BMW 8 серии Gran Coupe 840d xDrive II (G14/G15/G16),3.0 л / 320 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,6 ноября,120 (120 сегодня),1 владелец,Оригинал,1,Растаможен,полный,чёрный,39 000 км,2019,0,6 699 000 ₽,0
BMW 3 серии 320i xDrive VI (F3x) Рестайлинг,2.0 л / 184 л.с. / Бензин,автоматическая,седан,Левый,Не требует ремонта,13 мая,758 (2 сегодня),2 владельца,Оригинал,1,Растаможен,полный,серый,121 877 км,2018,0,1 880 000 ₽,1
BMW X5 M50d IV (G05),3.0 л / 400 л.с. / Дизель,автоматическая,внедорожник 5 дв.,Левый,Не требует ремонта,5 ноября,280 (96 сегодня),1 владелец,Оригинал,1,Растаможен,полный,белый,53 900 км,2019,0,6 999 000 ₽,0
BMW 3 серии 330d VII (G2x),3.0 л / 265 л.с. / Дизель,автоматическая,седан,Левый,Не требует ремонта,6 ноября,84 (84 сегодня),1 владелец,Оригинал,1,Растаможен,задний,чёрный,59 000 км,2019,0,3 500 000 ₽,0
